feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,label
-0.05121601769993406,-1.9137758687098576,-0.7926286844735773,-1.0410143786862622,2.09351605894516,-2.4355442663272653,0.4738479452570976,0.6752040561307591,1.4478882729697549,0.12042874668302737,1
-3.1212314604814435,3.5788090380348994,-0.46789091076141937,-0.10248539229866435,0.576480396206134,1.2224459502342022,0.3337644407510125,0.21590778805554123,0.8873636063532481,-2.504906090816109,0
1.080601002060628,-0.038260592553946704,-0.618793652382458,-0.4293659191730406,-0.47965823852222045,-0.1425530979451835,1.343826444470805,-0.0931288142052541,1.2934875344938386,1.3281086938411146,1
1.82487358146098,-1.2364149308367922,-2.6130183429248803,-0.7327130265740028,0.10782274397020264,0.9881186284203118,,0.8474949742459887,0.6929929086979875,0.9373827299664916,0
-1.8362564437061177,-2.102402576879334,3.1970566239898197,0.36145604215034316,1.0882883961131062,1.8331728070871627,-1.5054814837951616,-2.6521831652901695,-0.4962114898782566,-0.7235446064036303,1
-1.0403317197332278,1.931198932081557,-3.2400567337846438,1.0585537408217718,-0.10552969655050048,-0.5378651637628333,,1.3655167580419456,-0.5359158081023793,-0.09628017329562703,0
0.4537722101690964,-0.6256298995209375,-1.4350596741558936,1.6513342935249462,2.05565638530194,-1.0704288283778614,-0.6837342432244375,0.2496097983631398,0.6000419683633441,0.5850575762470126,0
-1.3464584220085947,0.6284235314141124,0.1671163473219161,-0.006001484109576579,-2.309357785053626,1.4006347684758764,-1.3804826520384097,-0.508940442888968,-0.6504979741929314,1.859888187175636,0
-1.88576448981924,,0.007669056907070926,-0.7532311097071968,0.8370793479190599,-0.7193364378339546,-2.227167804806185,0.9808044927949937,-0.36504077950918135,1.1108217356093484,1
-0.18466412266708454,0.568417196126968,0.4464788686072631,2.3518046127896137,-1.774267491168464,-1.2108910259791545,-0.836413509367266,-0.7144133098505843,-1.0630935179467669,-0.06159024723282065,1
1.4149269759625958,-0.40768240149067725,0.014294595548173583,0.6609525791866946,-2.109922690273025,-0.7381810651751289,-3.240003417583807,-4.669217899924896,2.8022165992553543,-0.11392393075770119,0
3.306589320742358,-4.38928470595922,-1.6439414659454814,-0.5464305085548254,0.28123042202424386,-1.304967589018845,0.44214565580777143,1.2223325678830674,0.4741391180951388,1.235548210279463,0
0.756243499521859,-0.02167297220748865,-0.10205073780293183,-0.13758369175816645,-0.2475979001549215,0.5242384367631786,,-1.0806916313299846,0.48594859679443964,0.7978089232730771,1
-0.7522235800293843,,-2.0774650641943184,1.215284108701237,-0.334761166655108,0.29920888623517505,0.15767154757429191,0.19721173162748784,-1.4769442197132496,0.45142947949293805,0
-0.06584195650920555,0.6061447077057524,-0.06787397565103587,2.688526231697763,-0.7564806777043152,1.2597119755449557,,-1.6795739984710796,0.8258545133505514,0.8225113661797092,0
-1.2356997407232908,,-0.08861871853786385,-0.1010290069145633,-0.6583750805975725,1.3682610157428468,,-0.9514169180319616,-0.8972642603382903,-0.14140180620656634,0
